ID;equipmentCode;name;rfidTag;status;assignedProject;currentLocationName;latitude;longitude;lastSeenAt;lastSeenBy;hasOpenFault;replacementValue;criticality;sapEquipmentId;sapAssetNumber;serialNumber;brand;model;category;costCenter;plant;storageLocation;acquisitionValue;acquisitionDate;manufacturer;source;lastSapSyncAt;technicalStatus
11111111-1111-1111-1111-111111111111;MART-002;Martelo Perfurador Bosch GBH 2-26 F;MARTELO_002;IN_USE;Torre Boavista - Porto;Piso 3 - Betonagem;41.157944;-8.629105;2026-06-09T15:30:00Z;João Ferreira;false;980.00;2;EQ-10000001;0010000001;GBH226F-2204507321;Bosch;GBH 2-26 F;FERRAMENTA_ELETRICA;CC-PORTO-001;PT01;OBR-TVB;980.00;2023-03-15;Robert Bosch GmbH;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
22222222-2222-2222-2222-222222222222;LIXA-001;Lixadora Orbital Bosch GEX 125-150 AVE;LIXA_001;MAINTENANCE;Torre Boavista - Porto;Contentor de Manutencao;41.158120;-8.628900;2026-06-09T13:10:00Z;Ana Rocha;true;420.00;3;EQ-10000002;0010000002;GEX125-2203891045;Bosch;GEX 125-150 AVE;FERRAMENTA_ELETRICA;CC-PORTO-001;PT01;OBR-TVB;420.00;2023-03-15;Robert Bosch GmbH;SAP_BTP;2026-06-12T06:00:00Z;INSPECTION_DUE
33333333-3333-3333-3333-333333333333;LASER-004;Laser Nivelador Hilti PR 30-HVS;LASER_004;AVAILABLE;Viaduto IP2 - Trancoso;Armazem de Obra;40.773210;-7.350930;2026-06-08T09:20:00Z;João Silva;false;1850.00;2;EQ-10000003;0010000003;PR30HVS-HIL20241387;Hilti;PR 30-HVS;INSTRUMENTO_MEDICAO;CC-TRANSCO-002;PT02;OBR-IP2;1850.00;2022-09-08;Hilti AG;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
44444444-4444-4444-4444-444444444444;SERRA-006;Serra Circular Makita DHS680Z;SERRA_006;IN_TRANSFER;Urbanizacao Gaia Norte;Guia 2026-004 em transito;41.129830;-8.617940;2026-06-09T10:45:00Z;Maria Santos;false;760.00;2;EQ-10000004;0010000004;DHS680-MAK2310294;Makita;DHS680Z;FERRAMENTA_ELETRICA;CC-GAIA-003;PT01;OBR-GAN;760.00;2023-07-22;Makita Corporation;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
55555555-5555-5555-5555-555555555555;REBARB-003;Rebarbadora DeWalt DWE4120;;AVAILABLE;Torre Boavista - Porto;Piso 2 - Ferramentaria;41.157820;-8.629200;2026-06-11T11:00:00Z;João Ferreira;false;320.00;2;EQ-10000005;0010000005;DWE4120-DEW2318047;DeWalt;DWE4120;FERRAMENTA_ELETRICA;CC-PORTO-001;PT01;OBR-TVB;320.00;2024-01-10;Stanley Black & Decker;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
66666666-6666-6666-6666-666666666666;COMP-008;Compactador Wacker Neuson BS50-4;;IN_USE;Urbanizacao Gaia Norte;Sector B - Fundacoes;41.130100;-8.618500;2026-06-10T08:00:00Z;Carlos Mendes;false;4200.00;1;EQ-10000006;0010000006;BS504-WN22003791;Wacker Neuson;BS50-4;EQUIPAMENTO_PESADO;CC-GAIA-003;PT01;OBR-GAN;4200.00;2021-11-05;Wacker Neuson SE;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
77777777-7777-7777-7777-777777777777;PERF-007;Perfurador Hilti TE 60-ATC;;IN_USE;Viaduto IP2 - Trancoso;Pilar P3 - Cofragem;40.774500;-7.352100;2026-06-11T07:30:00Z;João Silva;false;2800.00;2;EQ-10000007;0010000007;TE60ATC-HIL20228745;Hilti;TE 60-ATC;FERRAMENTA_ELETRICA;CC-TRANSCO-002;PT02;OBR-IP2;2800.00;2022-05-30;Hilti AG;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
88888888-8888-8888-8888-888888888888;ASPI-009;Aspirador Industrial Bosch GAS 25 L AFC;;AVAILABLE;Armazem Central;Corredor C - Limpeza;41.232000;-8.626000;2026-06-10T16:45:00Z;Paulo Costa;false;450.00;3;EQ-10000008;0010000008;GAS25-2301647832;Bosch;GAS 25 L AFC;EQUIPAMENTO_AUXILIAR;CC-ARM-000;PT01;MAIA;450.00;2023-09-12;Robert Bosch GmbH;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
99999999-9999-9999-9999-999999999999;APAR-005;Aparafusadora Makita DDF484Z;APAR_005;IN_USE;Torre Boavista - Porto;Piso 5 - Revestimentos;41.158300;-8.628700;2026-06-11T09:15:00Z;Ana Rocha;false;280.00;3;EQ-10000009;0010000009;DDF484-MAK2402871;Makita;DDF484Z;FERRAMENTA_ELETRICA;CC-PORTO-001;PT01;OBR-TVB;280.00;2024-02-20;Makita Corporation;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
aaaaaaaa-aaaa-bbbb-cccc-dddddddd0010;BETON-010;Betoneira Altrad B130;;IN_USE;Urbanizacao Gaia Norte;Sector A - Estruturas;41.129600;-8.617200;2026-06-11T06:30:00Z;Carlos Mendes;false;680.00;2;EQ-10000010;0010000010;B130-ALT20190443;Altrad;B130;EQUIPAMENTO_PESADO;CC-GAIA-003;PT01;OBR-GAN;680.00;2022-04-18;Altrad Group;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
aaaaaaaa-aaaa-bbbb-cccc-dddddddd0011;COMP-011;Compressor Atlas Copco XAMS 287;;AVAILABLE;Torre Boavista - Porto;Piso 0 - Estaleiro Base;41.157500;-8.629400;2026-06-08T17:00:00Z;João Ferreira;false;12500.00;1;EQ-10000011;0010000011;XAMS287-AC2021004122;Atlas Copco;XAMS 287;EQUIPAMENTO_AUXILIAR;CC-PORTO-001;PT01;OBR-TVB;12500.00;2021-08-14;Atlas Copco AB;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
aaaaaaaa-aaaa-bbbb-cccc-dddddddd0012;GER-012;Gerador Honda EU70is;;IN_USE;Viaduto IP2 - Trancoso;Area de Energia - Escritorio Obra;40.773800;-7.351500;2026-06-09T07:00:00Z;João Silva;false;3200.00;1;EQ-10000012;0010000012;EU70IS-HND21445701;Honda;EU70is;EQUIPAMENTO_AUXILIAR;CC-TRANSCO-002;PT02;OBR-IP2;3200.00;2022-11-23;Honda Motor Co. Ltd.;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
aaaaaaaa-aaaa-bbbb-cccc-dddddddd0013;MART-013;Martelo Demolidor Hilti TE 2000-AVR;;AVAILABLE;Torre Boavista - Porto;Piso 1 - Ferramentaria;41.157700;-8.629000;2026-06-10T14:20:00Z;João Ferreira;false;2150.00;2;EQ-10000013;0010000013;TE2000-HIL23011897;Hilti;TE 2000-AVR;FERRAMENTA_ELETRICA;CC-PORTO-001;PT01;OBR-TVB;2150.00;2023-01-09;Hilti AG;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
aaaaaaaa-aaaa-bbbb-cccc-dddddddd0014;LIXA-014;Lixadora Angular Makita 9565CVR;;MAINTENANCE;Urbanizacao Gaia Norte;Contentor de Manutencao;41.129900;-8.618000;2026-06-07T10:30:00Z;Maria Santos;false;195.00;3;EQ-10000014;0010000014;9565CVR-MAK2211034;Makita;9565CVR;FERRAMENTA_ELETRICA;CC-GAIA-003;PT01;OBR-GAN;195.00;2022-10-07;Makita Corporation;SAP_BTP;2026-06-12T06:00:00Z;INSPECTION_DUE
aaaaaaaa-aaaa-bbbb-cccc-dddddddd0015;LASER-015;Laser Rotativo Leica Rugby 610;;AVAILABLE;Armazem Central;Armario Instrumentos - Corredor A;41.232100;-8.625800;2026-06-05T09:00:00Z;Paulo Costa;false;2400.00;2;EQ-10000015;0010000015;RUG610-LEI2020047823;Leica;Rugby 610;INSTRUMENTO_MEDICAO;CC-ARM-000;PT01;MAIA;2400.00;2020-06-25;Leica Geosystems AG;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
aaaaaaaa-aaaa-bbbb-cccc-dddddddd0016;REBARB-016;Rebarbadora Bosch GWS 22-230 JH;;IN_USE;Viaduto IP2 - Trancoso;Pilar P5 - Armaduras;40.773000;-7.350000;2026-06-11T08:45:00Z;João Silva;false;580.00;2;EQ-10000016;0010000016;GWS22-2312847091;Bosch;GWS 22-230 JH;FERRAMENTA_ELETRICA;CC-TRANSCO-002;PT02;OBR-IP2;580.00;2023-12-01;Robert Bosch GmbH;SAP_BTP;2026-06-12T06:00:00Z;OPERATIONAL
